break_id,account_id,break_text
BRKafc6f2ae,B004184,FX mismatch between custodian and OMS for IWM on 2025-05-09; expected 283 got 49.
BRKaed4a84c,B003726,Price variance over tolerance for XOM; OMS 228.87 vs custodian 226.59.
BRK722d56d5,B004189,Duplicate booking suspected for CRM; two fills with same timestamp.
BRKbcaaba6b,B004130,Corporate action cash dividend missing for QQQ; record date 2025-07-07.
BRKabec67b5,B004143,Instrument mapping issue: ISIN/SEDOL mismatch for XOM; refer static data.
BRK1ade8173,B004189,Instrument mapping issue: ISIN/SEDOL mismatch for COST; refer static data.
BRKb97fe072,B004238,Price variance over tolerance for SHEL; OMS 411.19 vs custodian 412.33.
BRK84cf3120,B003785,Price variance over tolerance for SHOP; OMS 29.43 vs custodian 29.71.
BRKa1b284d0,B003052,Price variance over tolerance for BAC; OMS 459.72 vs custodian 476.55.
BRKe259fdf1,B003023,Duplicate booking suspected for V; two fills with same timestamp.
BRKbc8be96d,B003327,"Settlement fail on SHEL; reason: SSI rejected, requires updated BIC/SWIFT."
BRK25414d61,B003563,Corporate action cash dividend missing for SHOP; record date 2025-04-22.
BRKbc159d7a,B003454,Instrument mapping issue: ISIN/SEDOL mismatch for BAC; refer static data.
BRKf484fb85,B003466,Instrument mapping issue: ISIN/SEDOL mismatch for IVV; refer static data.
BRKe57a3de3,B003982,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK20963ef5,B003870,"Trade not affirmed by counterparty; venue NYSE, orderId e0d5c94a, partial fill discrepancy."
BRKb2329159,B003439,"Settlement fail on LLY; reason: SSI rejected, requires updated BIC/SWIFT."
BRK86d908f8,B004310,"Settlement fail on MRK; reason: SSI rejected, requires updated BIC/SWIFT."
BRKa1c344d6,B003476,Instrument mapping issue: ISIN/SEDOL mismatch for UNH; refer static data.
BRKbc48ad97,B003382,Price variance over tolerance for JNJ; OMS 323.13 vs custodian 326.36.
BRK6a92c9dd,B003193,FX mismatch between custodian and OMS for INTC on 2025-06-15; expected 941 got 174.
BRKfd51611d,B003570,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK6b8a8f9f,B004262,Duplicate booking suspected for TSLA; two fills with same timestamp.
BRK619f2b68,B004427,FX mismatch between custodian and OMS for PFE on 2025-06-30; expected 816 got 585.
BRK5a67241f,B003823,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK2a80e1ad,B003133,Corporate action cash dividend missing for VNQ; record date 2025-04-29.
BRK3ab6424c,B004102,FX mismatch between custodian and OMS for SQ on 2025-04-22; expected 569 got 559.
BRKd20180c3,B003820,Corporate action cash dividend missing for NKE; record date 2025-04-20.
BRKf785b589,B003906,"Trade not affirmed by counterparty; venue LSE, orderId a9f9525a, partial fill discrepancy."
BRK119c9974,B004274,Instrument mapping issue: ISIN/SEDOL mismatch for HD; refer static data.
BRK174f0236,B003864,"Settlement fail on IVV; reason: SSI rejected, requires updated BIC/SWIFT."
BRKd14fc724,B004426,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK5fc7d828,B003780,"Trade not affirmed by counterparty; venue BATS, orderId 866f8baf, partial fill discrepancy."
BRKa6aa9b65,B003534,FX mismatch between custodian and OMS for PEP on 2025-03-24; expected 123 got 132.
BRK98c6cf0a,B003276,Corporate action cash dividend missing for GLD; record date 2025-04-08.
BRK6ca57bad,B003739,Instrument mapping issue: ISIN/SEDOL mismatch for JNJ; refer static data.
BRK6833e239,B003719,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK9c06f96b,B003465,Instrument mapping issue: ISIN/SEDOL mismatch for LLY; refer static data.
BRK797c8ceb,B003509,Corporate action cash dividend missing for AVGO; record date 2025-03-27.
BRK8b01da22,B003532,FX mismatch between custodian and OMS for PEP on 2025-06-05; expected 398 got 502.
BRKbd652faf,B003100,Price variance over tolerance for MSFT; OMS 208.01 vs custodian 202.06.
BRKd6c78c5b,B004086,Corporate action cash dividend missing for PYPL; record date 2025-07-06.
BRK2b5f04e0,B003768,Instrument mapping issue: ISIN/SEDOL mismatch for TLT; refer static data.
BRK7c2db9e7,B003102,Price variance over tolerance for PEP; OMS 222.94 vs custodian 226.7.
BRK3d075bfe,B003644,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK37a7eb40,B004100,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKf0a10950,B003653,FX mismatch between custodian and OMS for XOM on 2025-07-21; expected 445 got 138.
BRKfcd322d0,B003756,Instrument mapping issue: ISIN/SEDOL mismatch for WMT; refer static data.
BRK9f2eba75,B003857,Price variance over tolerance for DIS; OMS 120.23 vs custodian 120.93.
BRK775d4cbd,B004295,Duplicate booking suspected for DIS; two fills with same timestamp.
BRKea8dd26e,B003018,Instrument mapping issue: ISIN/SEDOL mismatch for EFA; refer static data.
BRKcf29d02b,B003242,Price variance over tolerance for HD; OMS 335.1 vs custodian 325.97.
BRK74217873,B003876,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKa5335100,B003647,Instrument mapping issue: ISIN/SEDOL mismatch for IVV; refer static data.
BRKc8144e7a,B003362,"Trade not affirmed by counterparty; venue BATS, orderId d14b179e, partial fill discrepancy."
BRKc32a7677,B003514,Instrument mapping issue: ISIN/SEDOL mismatch for SHOP; refer static data.
BRK6615fbbc,B003030,Instrument mapping issue: ISIN/SEDOL mismatch for TSLA; refer static data.
BRK71e136b7,B004144,"Trade not affirmed by counterparty; venue BATS, orderId 4b4c248e, partial fill discrepancy."
BRK0609b3bd,B003733,Price variance over tolerance for AMD; OMS 479.79 vs custodian 471.22.
BRK5d1680cd,B003538,Instrument mapping issue: ISIN/SEDOL mismatch for TXN; refer static data.
BRKb06d16c4,B003337,Price variance over tolerance for AMZN; OMS 66.0 vs custodian 67.24.
BRK9deba6c1,B003700,Duplicate booking suspected for XOM; two fills with same timestamp.
BRK5ca12b5d,B004090,Duplicate booking suspected for AMZN; two fills with same timestamp.
BRK19c9a977,B003754,Corporate action cash dividend missing for WMT; record date 2025-04-30.
BRKc6df29f0,B004375,"Settlement fail on UBER; reason: SSI rejected, requires updated BIC/SWIFT."
BRK7e21dd5f,B003741,FX mismatch between custodian and OMS for COST on 2025-07-02; expected 42 got 697.
BRK4cff5705,B003521,Duplicate booking suspected for KO; two fills with same timestamp.
BRK412fd09a,B003693,"Settlement fail on SLV; reason: SSI rejected, requires updated BIC/SWIFT."
BRK030b7703,B003228,Corporate action cash dividend missing for JPM; record date 2025-07-21.
BRK40ce7f45,B003584,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK903cab87,B003173,Instrument mapping issue: ISIN/SEDOL mismatch for AMD; refer static data.
BRKa4dad6b7,B004360,Corporate action cash dividend missing for PFE; record date 2025-03-27.
BRKb214371e,B003392,Instrument mapping issue: ISIN/SEDOL mismatch for AMAT; refer static data.
BRK6b1907ce,B003972,FX mismatch between custodian and OMS for CSCO on 2025-09-05; expected 830 got 872.
BRK165ef9f4,B004242,"Settlement fail on LULU; reason: SSI rejected, requires updated BIC/SWIFT."
BRK13eeb07e,B003673,"Settlement fail on EEM; reason: SSI rejected, requires updated BIC/SWIFT."
BRKe84d9c5d,B003470,Corporate action cash dividend missing for PEP; record date 2025-04-22.
BRK8326d196,B003677,Price variance over tolerance for TXN; OMS 105.27 vs custodian 108.85.
BRKd4e8901f,B004054,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK65d457fb,B004053,Instrument mapping issue: ISIN/SEDOL mismatch for LIN; refer static data.
BRK23e661e5,B003520,Duplicate booking suspected for WMT; two fills with same timestamp.
BRK9f34f770,B003109,"Settlement fail on MRK; reason: SSI rejected, requires updated BIC/SWIFT."
BRK136bd94a,B004409,"Settlement fail on META; reason: SSI rejected, requires updated BIC/SWIFT."
BRK8200320e,B003219,Duplicate booking suspected for AAPL; two fills with same timestamp.
BRK42920bc7,B003252,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK0c9a0a3c,B004353,Instrument mapping issue: ISIN/SEDOL mismatch for WMT; refer static data.
BRK00ad4e40,B004186,Corporate action cash dividend missing for CRM; record date 2025-04-11.
BRK3f9d90db,B003124,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKa2d9da02,B003981,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKd6cbfcdb,B003771,"Trade not affirmed by counterparty; venue BATS, orderId 838dfcc4, partial fill discrepancy."
BRK3297b5ae,B004106,Price variance over tolerance for SLV; OMS 110.85 vs custodian 109.21.
BRK359b35ff,B003417,"Settlement fail on LLY; reason: SSI rejected, requires updated BIC/SWIFT."
BRK547184dd,B004067,"Trade not affirmed by counterparty; venue BATS, orderId c174becc, partial fill discrepancy."
BRK62180e01,B004023,Corporate action cash dividend missing for MSFT; record date 2025-05-31.
BRK979ac684,B003430,FX mismatch between custodian and OMS for HD on 2025-04-29; expected 738 got 596.
BRKe60881d8,B003434,"Trade not affirmed by counterparty; venue NYSE, orderId 32e7a92b, partial fill discrepancy."
BRK1941e77d,B003030,Corporate action cash dividend missing for HD; record date 2025-07-12.
BRKcb1987ce,B003129,Instrument mapping issue: ISIN/SEDOL mismatch for EFA; refer static data.
BRKa568ad4c,B003234,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK5fc24216,B003022,Price variance over tolerance for UBER; OMS 351.37 vs custodian 358.05.
BRKb4d0afdf,B003190,"Settlement fail on PFE; reason: SSI rejected, requires updated BIC/SWIFT."
BRK3ce2dfd1,B003653,"Trade not affirmed by counterparty; venue NYSE, orderId 0def1870, partial fill discrepancy."
BRKb1009ea3,B003988,Corporate action cash dividend missing for BAC; record date 2025-05-24.
BRKab14d4b7,B003836,Duplicate booking suspected for AMAT; two fills with same timestamp.
BRK9a8306c8,B003071,FX mismatch between custodian and OMS for AAPL on 2025-07-20; expected 478 got 860.
BRKde82826f,B003373,Price variance over tolerance for AAPL; OMS 170.86 vs custodian 171.93.
BRK0f6985a3,B003776,Duplicate booking suspected for AMD; two fills with same timestamp.
BRKa0ba6e78,B003892,Instrument mapping issue: ISIN/SEDOL mismatch for CRM; refer static data.
BRK1fb0c1cf,B003151,Instrument mapping issue: ISIN/SEDOL mismatch for AAPL; refer static data.
BRKc80fa237,B003177,"Settlement fail on EEM; reason: SSI rejected, requires updated BIC/SWIFT."
BRK6a6cec17,B004109,Instrument mapping issue: ISIN/SEDOL mismatch for PEP; refer static data.
BRK39a96348,B003550,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK40aeb714,B003030,"Settlement fail on ADBE; reason: SSI rejected, requires updated BIC/SWIFT."
BRK99275f04,B003414,Corporate action cash dividend missing for PFE; record date 2025-04-20.
BRKceb866d9,B004156,Corporate action cash dividend missing for IVV; record date 2025-05-28.
BRK954bc8af,B003031,Instrument mapping issue: ISIN/SEDOL mismatch for ABNB; refer static data.
BRKbd7bda0f,B004301,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK4bc01a0e,B004258,FX mismatch between custodian and OMS for META on 2025-06-07; expected 389 got 827.
BRK022eacbe,B003878,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKd0071c1d,B003930,FX mismatch between custodian and OMS for LIN on 2025-06-04; expected 719 got 613.
BRK23c8fa14,B003259,Corporate action cash dividend missing for MSFT; record date 2025-08-17.
BRK97d58aa6,B003930,Corporate action cash dividend missing for TXN; record date 2025-03-31.
BRK9fe4f33f,B003161,Duplicate booking suspected for UBER; two fills with same timestamp.
BRK17b28683,B003944,Duplicate booking suspected for ADBE; two fills with same timestamp.
BRKc602c0f9,B003996,"Trade not affirmed by counterparty; venue NASDAQ, orderId 06e0b0e6, partial fill discrepancy."
BRK15742de5,B003999,Corporate action cash dividend missing for PFE; record date 2025-06-02.
BRKee53ebb2,B004109,Corporate action cash dividend missing for TLT; record date 2025-03-27.
BRKde5c046a,B004459,Corporate action cash dividend missing for PYPL; record date 2025-05-28.
BRKefdf4f7c,B003333,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKad06f79b,B003152,Price variance over tolerance for AMD; OMS 483.86 vs custodian 477.7.
BRKfd2d76eb,B003545,"Trade not affirmed by counterparty; venue LSE, orderId decf71fc, partial fill discrepancy."
BRKc3c0c889,B004394,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK444319c9,B003653,Corporate action cash dividend missing for CRM; record date 2025-05-02.
BRKada80bae,B003289,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKe5d84ee5,B003036,"Trade not affirmed by counterparty; venue NASDAQ, orderId 037efb73, partial fill discrepancy."
BRKde2442d2,B004442,Instrument mapping issue: ISIN/SEDOL mismatch for LIN; refer static data.
BRK3d05b930,B003940,Corporate action cash dividend missing for MA; record date 2025-07-16.
BRK3f126ef4,B003363,Duplicate booking suspected for ORCL; two fills with same timestamp.
BRKf98697d3,B003010,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKcee52c3e,B003374,Price variance over tolerance for MA; OMS 427.87 vs custodian 436.15.
BRK52eb8784,B003184,"Trade not affirmed by counterparty; venue BATS, orderId be825c6f, partial fill discrepancy."
BRKdb982699,B003764,"Trade not affirmed by counterparty; venue LSE, orderId 6a177f25, partial fill discrepancy."
BRKa1167105,B004151,FX mismatch between custodian and OMS for QQQ on 2025-03-14; expected 103 got 123.
BRKb7c8ab3f,B003761,Corporate action cash dividend missing for AAPL; record date 2025-04-05.
BRK9198854b,B004345,Corporate action cash dividend missing for NVDA; record date 2025-06-20.
BRKf6709f0d,B003742,FX mismatch between custodian and OMS for XOM on 2025-05-19; expected 850 got 588.
BRKe0f482d0,B003408,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK975722e3,B004215,FX mismatch between custodian and OMS for PEP on 2025-03-18; expected 14 got 984.
BRKbe04d952,B003525,"Trade not affirmed by counterparty; venue BATS, orderId bf48233c, partial fill discrepancy."
BRK4c17e7a8,B003639,Price variance over tolerance for UBER; OMS 350.97 vs custodian 345.65.
BRK3b0862d9,B004162,Instrument mapping issue: ISIN/SEDOL mismatch for ABNB; refer static data.
BRKa5d3986a,B003436,Duplicate booking suspected for AMAT; two fills with same timestamp.
BRKe7bed537,B003571,Instrument mapping issue: ISIN/SEDOL mismatch for T; refer static data.
BRK5d652c47,B004278,Corporate action cash dividend missing for LULU; record date 2025-04-30.
BRKf196fe55,B004102,"Trade not affirmed by counterparty; venue LSE, orderId d6809f1d, partial fill discrepancy."
BRKf83ef469,B003092,Instrument mapping issue: ISIN/SEDOL mismatch for V; refer static data.
BRK7cd6a0a8,B003140,"Settlement fail on NKE; reason: SSI rejected, requires updated BIC/SWIFT."
BRK8bb68052,B003896,"Settlement fail on WMT; reason: SSI rejected, requires updated BIC/SWIFT."
BRKf6c3b903,B003861,Instrument mapping issue: ISIN/SEDOL mismatch for ABNB; refer static data.
BRKc35a0b35,B003891,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK9c2929f6,B003448,Price variance over tolerance for EEM; OMS 161.14 vs custodian 158.52.
BRK828d16f7,B003399,Corporate action cash dividend missing for UBER; record date 2025-06-23.
BRK893bfe27,B003783,Price variance over tolerance for BP; OMS 158.88 vs custodian 162.54.
BRK25450a2c,B004106,Duplicate booking suspected for AMZN; two fills with same timestamp.
BRK9f736b34,B003566,Instrument mapping issue: ISIN/SEDOL mismatch for EEM; refer static data.
BRK3973c8b6,B003687,Duplicate booking suspected for CSCO; two fills with same timestamp.
BRKe88b8404,B003421,FX mismatch between custodian and OMS for SQ on 2025-07-24; expected 618 got 39.
BRKa93ab907,B003682,"Trade not affirmed by counterparty; venue LSE, orderId 844128ca, partial fill discrepancy."
BRKfa9ef989,B004496,"Trade not affirmed by counterparty; venue NYSE, orderId c51d4f92, partial fill discrepancy."
BRK5500c96f,B003170,Instrument mapping issue: ISIN/SEDOL mismatch for TSLA; refer static data.
BRK8bcbfbd8,B003291,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK3a305d35,B004406,Corporate action cash dividend missing for EFA; record date 2025-07-25.
BRK23641165,B004468,"Settlement fail on IVV; reason: SSI rejected, requires updated BIC/SWIFT."
BRK21b20b38,B004430,Corporate action cash dividend missing for NVDA; record date 2025-03-18.
BRKcc419062,B004365,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK5e860626,B003731,FX mismatch between custodian and OMS for AMAT on 2025-08-24; expected 171 got 885.
BRK24653cb0,B004432,"Trade not affirmed by counterparty; venue LSE, orderId 1f42f813, partial fill discrepancy."
BRK5bcccb8c,B003439,Duplicate booking suspected for AMAT; two fills with same timestamp.
BRKc2140564,B003531,Duplicate booking suspected for AMD; two fills with same timestamp.
BRK2ac70520,B003089,"Trade not affirmed by counterparty; venue NASDAQ, orderId 62d734b7, partial fill discrepancy."
BRK67730f51,B003264,FX mismatch between custodian and OMS for NKE on 2025-04-09; expected 963 got 367.
BRK028b3242,B004380,FX mismatch between custodian and OMS for ADBE on 2025-03-28; expected 945 got 241.
BRK0f2622ab,B003098,Price variance over tolerance for AAPL; OMS 173.46 vs custodian 170.09.
BRKaa4ad749,B003442,"Settlement fail on KO; reason: SSI rejected, requires updated BIC/SWIFT."
BRKda72d06c,B003242,Duplicate booking suspected for AAPL; two fills with same timestamp.
BRK746eeb21,B003439,Price variance over tolerance for CRM; OMS 136.47 vs custodian 132.63.
BRKf24711f6,B003614,"Trade not affirmed by counterparty; venue LSE, orderId c7a76327, partial fill discrepancy."
BRKf28b91b0,B004260,Duplicate booking suspected for IVV; two fills with same timestamp.
BRK586e2636,B003765,Duplicate booking suspected for TLT; two fills with same timestamp.
BRK68efb12d,B003794,FX mismatch between custodian and OMS for META on 2025-08-31; expected 427 got 991.
BRK521211b6,B004166,FX mismatch between custodian and OMS for SQ on 2025-09-05; expected 417 got 589.
BRKf61a338b,B004121,Instrument mapping issue: ISIN/SEDOL mismatch for AMZN; refer static data.
BRK1377b57c,B003538,"Settlement fail on GOOGL; reason: SSI rejected, requires updated BIC/SWIFT."
BRKf8f285bd,B004422,"Settlement fail on TLT; reason: SSI rejected, requires updated BIC/SWIFT."
BRK7dc66586,B003591,Duplicate booking suspected for KO; two fills with same timestamp.
BRKd70c8813,B003005,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK81220b1e,B003684,"Settlement fail on PEP; reason: SSI rejected, requires updated BIC/SWIFT."
BRK1d094752,B003022,"Settlement fail on META; reason: SSI rejected, requires updated BIC/SWIFT."
BRK718c1697,B003266,Corporate action cash dividend missing for LIN; record date 2025-05-31.
